,logFC,FDR,FC,geneLen,GC_content,median_IUPRED,5UTR_PARS_RNAstructure,CDS_PARS_RNAstructure,3UTR_PARS_RNAstructure,%AA_A,%AA_C,%AA_D,%AA_E,%AA_F,%AA_G,%AA_H,%AA_I,%AA_K,%AA_L,%AA_M,%AA_N,%AA_P,%AA_Q,%AA_R,%AA_S,%AA_T,%AA_V,%AA_W,%AA_Y,%Helical,%urn,%Beta-sheet,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction,RNAseq RPKM,RNAseq log2(RPKM),MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,Control Median,control Localization,GOMF,GOBP slim,GOCC slim,Number of complexe,Sum d0 Pause Score,Sum Odds Ratio,intron length,Intron status,aliphaticIndex,aromaticityScore,cai,codonBias,fopScore,gravyScore,instabilityIndex,molecularWeight,pI
YIL085C,0.599299373102261,0.0252720791285668,1.5149806563244934,1554.0,38.9318,0.0929,-0.129285714285714,0.122814028314025,0.044090909090909,0.0347,0.027,0.0753,0.0849,0.083,0.0521,0.027,0.0541,0.0695,0.083,0.027,0.0579,0.0425,0.0232,0.0483,0.0444,0.0463,0.0425,0.0232,0.0521,0.3378,0.1969,0.2297,2.0,,15.0,21.2489503825,4.475665371924585,30298333.333333332,24.85273514718062,24.85273514718062,,,0.038,4.519,0.033,136.557,4.836,0.0,,,GO:0000030;GO:0003824;GO:0016740;GO:0016757;GO:0016758,GO:0005975;GO:0006464;GO:0006486;GO:0007047;GO:0008152;GO:0009987;GO:0016043;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0045229;GO:0070882;GO:0071554;GO:0071555,GO:0005794;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,63.4,0.16,0.17,0.1,0.49,-0.51,43.81,61416.0,4.97
YIL087C,0.338563211167818,0.192519588957538,1.2644966467204097,474.0,46.8354,0.0668,0.0,0.211856540084387,0.039347826086957,0.1329,0.0,0.0316,0.0127,0.057,0.057,0.0,0.0443,0.0443,0.1203,0.0253,0.0253,0.0696,0.0253,0.0506,0.1139,0.0823,0.0443,0.0127,0.0443,0.3228,0.2658,0.2911,1.0,3.0,13.0,22.5571814,4.5580950269461304,87042500.0,26.37521667448154,26.37521667448154,,,0.141,4.471,0.107,41.587,2.658,0.0,17.77,mitochondria,,,GO:0005739;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,88.47,0.11,0.11,0.11,0.47,0.21,40.28,16931.8,10.44
YIL088C,-0.0907083923713265,0.910313138647762,0.9390615378306695,1473.0,38.6965,0.0102,-0.44014,0.34434215885947,0.216029411764705,0.0611,0.0163,0.0367,0.0387,0.0672,0.0733,0.0102,0.0876,0.0346,0.1466,0.0265,0.0591,0.0407,0.0143,0.0224,0.0978,0.057,0.0611,0.0122,0.0346,0.4094,0.2709,0.2729,1.0,4.0,26.0,53.6709463525,5.77270244365043,3314500.0,21.660360257455785,21.660360257455785,,,0.238,15.726,0.123,127.917,6.661,0.0325865580448065,18.64,ER,GO:0005215;GO:0005275;GO:0005342;GO:0015171;GO:0022804;GO:0022857;GO:0022891;GO:0022892;GO:0046943,GO:0006810;GO:0006865;GO:0009987;GO:0015837;GO:0015849;GO:0051234;GO:0055085,GO:0005773;GO:0005886;GO:0016020;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,2.7,5.16,,0.0,114.48,0.11,0.12,0.04,0.44,0.54,30.29,53728.0,4.92
YIL089W,-0.454091848078147,0.0897107348807846,0.7299695308951117,618.0,38.1877,0.0266,,,,0.0485,0.0243,0.0534,0.0388,0.1019,0.034,0.0437,0.0437,0.0971,0.1262,0.0146,0.0388,0.034,0.034,0.0437,0.0777,0.0388,0.068,0.0097,0.0243,0.3738,0.1845,0.2282,,,,3.70154487975,2.2331348895849725,,,22.457280443686653,,,0.25,6.959,0.114,61.097,5.347,0.0,17.0,below threshold,,,GO:0005783;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,84.55,0.14,0.12,-0.04,0.41,-0.07,26.83,23869.2,9.91
YIL090W,0.113013270776543,0.839876904566287,1.0814847115845858,1476.0,37.3984,0.00785,0.149780487804878,0.296869241192411,0.214933753943217,0.0407,0.0285,0.0224,0.0366,0.0752,0.0549,0.0122,0.0874,0.0528,0.1301,0.0142,0.0508,0.0285,0.0305,0.0346,0.0996,0.061,0.0569,0.0264,0.0549,0.4309,0.2337,0.2215,,,,75.1622501625,6.2510041976183635,,,25.235370871297462,,,0.038,4.429,0.034,131.593,3.486,0.0,45.58,ER,,GO:0006461;GO:0006873;GO:0006996;GO:0007029;GO:0009987;GO:0016043;GO:0019725;GO:0022607;GO:0034622;GO:0042592;GO:0048308;GO:0065003;GO:0065007,GO:0044464,0.0,,,,0.0,100.61,0.16,0.12,0.06,0.46,0.33,32.57,56347.3,9.02
YIL091C,1.257420388358,0.0011149503585885,2.3906789305651004,2166.0,37.8578,0.2193,,,,0.0319,0.0042,0.09,0.0789,0.0499,0.0499,0.0249,0.0789,0.0873,0.0706,0.0125,0.0512,0.0346,0.0429,0.0651,0.0803,0.0374,0.0568,0.0028,0.0485,0.3075,0.2161,0.1939,18.0,2.0,99.0,19.235565072500002,4.338821231313077,1261266666.6666667,30.232226188690465,30.232226188690465,,,0.028,4.387,0.026,171.581,1.828,0.2340720221606648,48.63,nucleolus,GO:0003676;GO:0003723;GO:0005488;GO:0019843;GO:0030515;GO:0034511,GO:0006139;GO:0006364;GO:0006396;GO:0006807;GO:0008152;GO:0009987;GO:0016070;GO:0034641;GO:0042274;GO:0043170;GO:0044237;GO:0044238,GO:0005634;GO:0005730;GO:0030529;GO:0030684;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043232;GO:0044464,0.0,,,,0.0,72.74,0.1,0.17,0.09,0.49,-0.77,42.13,83980.0,6.27
YIL092W,0.275761266499001,0.320753907029249,1.2106327349527433,1902.0,38.4858,0.4256,,,,0.0568,0.0189,0.0552,0.0615,0.0442,0.0394,0.0174,0.0631,0.0931,0.082,0.0189,0.0836,0.0394,0.0268,0.0505,0.112,0.0757,0.0347,0.0032,0.0221,0.2492,0.2744,0.2192,2.0,2.0,23.0,3.63016069025,2.211062263248785,,,24.743842416538342,,,0.028,4.545,0.026,173.679,3.656,,,,,,GO:0044464,0.0,,,,0.0,69.67,0.07,0.1,-0.06,0.4,-0.64,48.13,71024.3,9.47
YIL093C,-0.744695982338449,0.0081879833455386,0.5967936199797322,795.0,44.4025,0.3566,0.128529411764705,0.080289308176101,0.356045197740113,0.0566,0.0,0.0415,0.1057,0.0264,0.0491,0.0264,0.0415,0.0717,0.083,0.0264,0.0491,0.0491,0.0491,0.0566,0.0642,0.0679,0.0679,0.0189,0.0453,0.283,0.2113,0.2717,6.0,,5.0,31.020666569999996,5.000931435446841,1216533333.3333333,30.1801287062137,30.1801287062137,,,0.12,6.978,0.09,77.409,8.592,0.230188679245283,53.22,mitochondria,GO:0003735;GO:0005198,GO:0006412;GO:0006996;GO:0007005;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0019538;GO:0032543;GO:0043170;GO:0044237;GO:0044238,GO:0015935;GO:0030529;GO:0032991;GO:0044464,1.0,,,,0.0,68.19,0.09,0.12,0.14,0.51,-0.74,45.84,30508.7,6.18
YIL094C,-0.562410423305885,0.309217234263676,0.6771698175240408,1116.0,42.2043,0.23815,-0.0576875,0.454319892473118,0.03962962962963,0.0941,0.0134,0.0538,0.0618,0.0296,0.086,0.0108,0.078,0.0672,0.086,0.0134,0.0376,0.0403,0.0403,0.0538,0.0645,0.0591,0.0806,0.0,0.0269,0.3011,0.2285,0.2554,19.0,,,72.996022065,6.2093758102052465,3164866666.6666665,31.55949757577323,31.55949757577323,,,0.186,10.32,0.135,76.395,3.551,0.0,230.98,mitochondria,GO:0000166;GO:0000287;GO:0003824;GO:0005488;GO:0016491;GO:0016614;GO:0016616;GO:0043167;GO:0043169;GO:0046872;GO:0047046;GO:0048037;GO:0050662;GO:0051287,GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281,GO:0005739;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,3.1500000000000004,11.190000000000001,,0.0,94.91,0.06,0.31,0.45,0.69,-0.12,30.44,40071.4,8.18
YIL095W,0.0555222445497673,0.860413427950996,1.0392352304059822,2433.0,37.649,0.4652,,,,0.0419,0.0074,0.0456,0.0493,0.0333,0.0444,0.0247,0.0666,0.0715,0.0752,0.0197,0.0764,0.0678,0.0444,0.0617,0.1097,0.0691,0.0567,0.0012,0.0321,0.2651,0.2984,0.1862,84.0,2.0,31.0,7.35405128275,3.0624759997542395,452316666.6666667,28.75275791871401,28.75275791871401,,,0.038,7.016,0.034,205.55,3.516,0.4858199753390875,26.43,punctate,GO:0000166;GO:0003824;GO:0004672;GO:0004674;GO:0005488;GO:0005524;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0035639,GO:0006464;GO:0006468;GO:0006793;GO:0006996;GO:0007010;GO:0008152;GO:0009987;GO:0016043;GO:0019538;GO:0022607;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0051049;GO:0065007,GO:0044464,0.0,,,,0.0,72.91,0.07,0.14,0.04,0.45,-0.65,49.04,91064.5,10.14
YIL096C,0.410932282581708,0.240021490574947,1.3295447003650298,1011.0,34.2235,0.2918,,,,0.0297,0.003,0.0593,0.0564,0.0593,0.0475,0.0267,0.0653,0.1246,0.089,0.0089,0.095,0.0267,0.0534,0.0504,0.0772,0.0475,0.0297,0.0119,0.0356,0.2908,0.2463,0.184,1.0,5.0,7.0,18.7915291475,4.306811178131223,144610000.0,27.10759208935591,27.10759208935591,,,0.056,4.367,0.052,84.541,1.769,0.1899109792284866,28.86,nucleus,GO:0003824;GO:0008168;GO:0008170;GO:0008173;GO:0008649;GO:0008757;GO:0016436;GO:0016740;GO:0016741;GO:0070042,GO:0006139;GO:0006364;GO:0006396;GO:0006730;GO:0006807;GO:0008152;GO:0009451;GO:0009987;GO:0016070;GO:0034641;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281,GO:0005730;GO:0043226;GO:0043229;GO:0043232;GO:0044464,0.0,,,,0.0,67.31,0.11,0.14,-0.06,0.41,-0.94,36.91,39422.2,10.32
YIL097W,-3.32973527657152,0.0002636594283895,0.0994603089957469,1551.0,34.4939,0.1942,,,,0.0309,0.0135,0.0658,0.0619,0.0503,0.0251,0.0348,0.0754,0.089,0.1277,0.0135,0.0696,0.0368,0.0522,0.0329,0.0851,0.0619,0.0309,0.0077,0.0329,0.325,0.2166,0.234,3.0,3.0,46.0,2.4279691952499998,1.7773541450222492,,,24.043086577610264,,,0.038,4.367,0.034,130.027,1.921,0.0560928433268858,22.04,nucleus,,GO:0006464;GO:0006508;GO:0008152;GO:0009056;GO:0009987;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0051603;GO:0065007;GO:0070647,GO:0005634;GO:0005737;GO:0032991;GO:0043226;GO:0043229;GO:0043231;GO:0043234;GO:0044464,1.0,,,,0.0,86.95,0.09,0.14,-0.02,0.42,-0.5,34.6,59891.8,7.15
YIL098C,0.651907949105344,0.0028955753423059,1.5712447771495859,468.0,41.2393,0.28665,,,,0.0449,0.0,0.0769,0.0705,0.0192,0.0321,0.0128,0.0705,0.109,0.1026,0.0128,0.0769,0.0321,0.0513,0.0897,0.0449,0.0385,0.0577,0.0192,0.0321,0.3013,0.1859,0.2308,3.0,28.0,119.0,10.336424377750001,3.5028937663906823,51949666.666666664,25.6306111841363,25.6306111841363,,,,,,,,0.0384615384615384,27.18,mitochondria,,GO:0006461;GO:0009987;GO:0016043;GO:0022607;GO:0034622;GO:0065003,GO:0044464,0.0,,,,0.0,81.65,0.07,0.13,0.1,0.49,-0.92,29.54,18372.3,10.28
YIL099W,-0.36653353614268,0.589720860628453,0.7756439532995925,1650.0,47.0303,0.1263,,,,0.0673,0.0036,0.0673,0.04,0.0564,0.0727,0.0255,0.0673,0.0327,0.0964,0.0182,0.0636,0.04,0.0473,0.0309,0.0873,0.0582,0.0564,0.0236,0.0436,0.3436,0.2636,0.2218,,,,0.87971033075,0.9105103552066325,,,22.762748465523472,,,0.034,4.351,0.032,136.837,2.405,0.0,16.05,below threshold,GO:0003824;GO:0004339;GO:0004553;GO:0015926;GO:0016787;GO:0016798,GO:0005975;GO:0005976;GO:0006091;GO:0006112;GO:0008152;GO:0009056;GO:0009987;GO:0030154;GO:0032502;GO:0043170;GO:0043934;GO:0044237;GO:0044238;GO:0048646,GO:0005773;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,83.43,0.12,0.11,0.08,0.47,-0.17,41.23,61439.2,4.67
YIL101C,0.317880089329892,0.588025193132894,1.2464975863965122,1944.0,45.8333,0.3722,,,,0.0648,0.0123,0.0448,0.0262,0.0525,0.0324,0.0309,0.0525,0.054,0.0787,0.0123,0.0787,0.0756,0.0586,0.0463,0.1281,0.0679,0.0324,0.0077,0.0417,0.2654,0.3148,0.1821,5.0,3.0,27.0,0.24420678275000002,0.3152262761890629,,,23.787338956971993,,,0.028,4.375,0.026,166.253,2.266,0.3302469135802469,22.49,nucleus,GO:0000981;GO:0001071;GO:0003676;GO:0003677;GO:0003700;GO:0005488,GO:0006139;GO:0006366;GO:0006807;GO:0006950;GO:0006979;GO:0008152;GO:0009058;GO:0009987;GO:0016070;GO:0031399;GO:0033043;GO:0034641;GO:0042221;GO:0043170;GO:0044237;GO:0044238;GO:0050896;GO:0065007,GO:0005634;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,64.0,0.1,0.13,0.14,0.51,-0.6,50.3,72707.4,9.71
YIL102C,0.196827334653537,0.445671903224111,1.1461750004319122,306.0,41.1765,0.18375,,,,0.0686,0.0294,0.0294,0.098,0.0392,0.0588,0.0294,0.049,0.0686,0.098,0.0392,0.0588,0.0294,0.0098,0.0098,0.0784,0.098,0.0392,0.0098,0.049,0.2843,0.2255,0.3039,,,,,,,,23.476432292708168,,,,,,,,,13.03,below threshold,,,,0.0,,,,0.0,73.26,0.1,0.12,0.01,0.44,-0.23,24.97,11284.9,4.8
YIL103W,-1.21634958055484,0.000420080831421,0.4303702981730374,1278.0,37.8717,0.12175,0.145925925925925,0.090845070422535,0.042702702702703,0.061,0.0164,0.054,0.0681,0.0446,0.061,0.0258,0.0869,0.0822,0.0869,0.0211,0.054,0.0446,0.0352,0.0493,0.0493,0.0399,0.0704,0.0047,0.0423,0.3357,0.2089,0.2371,15.0,1.0,7.0,17.5080175025,4.210078463219073,760146666.6666666,29.501702567524358,29.501702567524358,,,0.138,10.376,0.109,95.272,3.533,0.0704225352112676,15.99,below threshold,,GO:0006464;GO:0008152;GO:0009058;GO:0009987;GO:0018193;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238,GO:0005737;GO:0044464,0.0,,,,0.0,89.27,0.09,0.19,0.14,0.52,-0.25,42.86,48315.3,8.43
YIL104C,-3.11249136859253,5.79474770491148e-07,0.11562366644588214,1524.0,38.189,0.2436,,,,0.0374,0.0059,0.0728,0.1004,0.0433,0.0394,0.0157,0.0866,0.0709,0.0965,0.0236,0.0591,0.0315,0.0531,0.0394,0.061,0.0571,0.0472,0.0118,0.0453,0.3307,0.1909,0.2579,6.0,2.0,12.0,9.33614062625,3.3696256984580533,304606666.6666667,28.182372281043445,28.182372281043445,,,0.158,15.766,0.104,151.431,19.379,0.1003937007874015,36.87,nucleus,GO:0005488;GO:0005515;GO:0051082,GO:0009987;GO:0016043;GO:0022607;GO:0022618;GO:0034622;GO:0065003,GO:0005634;GO:0005654;GO:0005829;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,,0.0,83.38,0.1,0.14,0.02,0.46,-0.53,46.19,59119.0,4.45
YIL105C,-0.835658246954745,0.205323638315908,0.5603273246048739,2061.0,37.7972,0.3774,,,,0.0437,0.0029,0.0568,0.0422,0.0437,0.0291,0.0175,0.0568,0.0626,0.0975,0.0189,0.0859,0.0422,0.1106,0.0378,0.1121,0.0626,0.0451,0.0058,0.0247,0.2737,0.2693,0.2023,13.0,9.0,48.0,10.39007267125,3.5097050466847066,622536666.6666666,29.213583574115614,29.213583574115614,,,0.047,7.093,0.042,169.543,2.049,0.4002911208151383,37.4,punctate,GO:0005488;GO:0005543;GO:0005546;GO:0008289;GO:0035091;GO:0046625,GO:0006461;GO:0006810;GO:0006996;GO:0007010;GO:0007163;GO:0007165;GO:0009987;GO:0016043;GO:0016192;GO:0016197;GO:0022607;GO:0034622;GO:0050896;GO:0051234;GO:0065003;GO:0065007,GO:0005886;GO:0016020;GO:0032991;GO:0043234;GO:0044464,1.0,,,,0.0,74.14,0.07,0.13,0.02,0.44,-0.7,49.78,77997.1,8.19
YIL106W,0.710493468030084,0.0965198192219977,1.636363733029393,945.0,41.5873,0.247,-0.028349514563107,0.215809523809522,0.001686746987952,0.054,0.0222,0.0349,0.0603,0.0635,0.0476,0.0349,0.0444,0.0286,0.0794,0.0222,0.0921,0.073,0.0635,0.0508,0.0508,0.0762,0.0571,0.0127,0.0286,0.2857,0.2635,0.2159,66.0,,10.0,24.4694230675,4.670694374990886,367600000.0,28.45356152965048,28.45356152965048,,,0.088,7.057,0.072,98.288,16.733,0.4095238095238095,13.36,below threshold,GO:0005488;GO:0019207;GO:0030234;GO:0043167;GO:0043169;GO:0046872,GO:0006464;GO:0006468;GO:0006793;GO:0007049;GO:0007346;GO:0008152;GO:0009987;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0051301;GO:0051726;GO:0065007,GO:0005634;GO:0005737;GO:0005815;GO:0030427;GO:0043226;GO:0043229;GO:0043231;GO:0044464,1.0,,,84.0,1.0,65.76,0.11,0.1,-0.01,0.42,-0.5,49.26,35877.8,6.58
YIL110W,0.0143094001562907,0.979484397362778,1.009967871926883,1134.0,38.0952,0.1449,-0.683846153846153,0.06534656084656,0.025441696113074,0.045,0.0106,0.0794,0.082,0.045,0.0423,0.0132,0.0741,0.0556,0.1217,0.0053,0.0608,0.0317,0.0317,0.037,0.0952,0.0608,0.0661,0.0106,0.0291,0.3466,0.2302,0.254,1.0,,,32.466122087500004,5.064629482205139,243723333.33333334,27.86066914194268,27.86066914194268,,,0.081,6.866,0.068,100.29,5.014,0.0343915343915343,19.89,nucleus:cytosol,GO:0003824;GO:0008168;GO:0008170;GO:0008757;GO:0016740;GO:0016741;GO:0018064,GO:0006464;GO:0006730;GO:0008152;GO:0008213;GO:0009987;GO:0018193;GO:0019538;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0044281,GO:0005634;GO:0005737;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,96.62,0.08,0.15,0.09,0.48,-0.23,46.8,42489.0,4.29
YIL111W,1.02565888010842,0.163491292276876,2.035888964220044,456.0,41.0088,0.3286,-0.992727272727272,-0.191436403508772,0.306176470588235,0.0592,0.0,0.0263,0.0724,0.0329,0.0855,0.0066,0.0329,0.0921,0.1184,0.0197,0.0592,0.0526,0.0395,0.0592,0.0526,0.0789,0.0395,0.0395,0.0263,0.2895,0.25,0.2697,,,,4.0316765465,2.331039183791357,,,24.628367513664752,,,0.178,4.457,0.121,36.98,1.932,0.0,12.66,below threshold,GO:0003824;GO:0004129;GO:0005215;GO:0008324;GO:0015002;GO:0015075;GO:0015077;GO:0015078;GO:0016491;GO:0016675;GO:0016676;GO:0022857;GO:0022890;GO:0022891;GO:0022892,GO:0006091;GO:0008152;GO:0009987;GO:0044237,GO:0032991;GO:0043234;GO:0044464;GO:0045277,0.0,,,87.0,1.0,72.74,0.1,0.1,0.03,0.42,-0.63,27.64,17205.0,10.43
YIL113W,-0.0851051849350141,0.808745855008306,0.9427158012845405,630.0,45.7143,0.1881,,,,0.0667,0.0143,0.0476,0.0667,0.0143,0.019,0.0333,0.0762,0.0571,0.1095,0.0238,0.0476,0.0762,0.0286,0.0619,0.0857,0.0524,0.0571,0.0095,0.0476,0.3143,0.2286,0.2667,6.0,6.0,29.0,5.195481292,2.6312163615604787,,,23.7862298265549,,,0.102,4.401,0.057,76.941,4.739,0.2047619047619047,18.43,below threshold,GO:0003824;GO:0004721;GO:0004725;GO:0008138;GO:0016787;GO:0016788;GO:0016791;GO:0033549;GO:0033550;GO:0042578,GO:0007165;GO:0009987;GO:0031399;GO:0050896;GO:0065007,GO:0005634;GO:0005737;GO:0043226;GO:0043229;GO:0043231;GO:0044464,0.0,,,,0.0,90.66,0.07,0.09,0.01,0.43,-0.34,54.46,23886.8,8.08
YIL114C,-0.537619089611088,0.177379560242667,0.6889068891748833,846.0,42.5532,0.1823,-1.47999999999999,0.198271867612292,0.019852941176471,0.0709,0.0071,0.0426,0.0284,0.0709,0.0709,0.0106,0.0532,0.0567,0.0816,0.0142,0.078,0.0284,0.0461,0.0532,0.1064,0.078,0.0567,0.0106,0.0319,0.305,0.2837,0.195,1.0,,,36.297904952500005,5.221022690528053,220676666.66666666,27.717358859395826,27.717358859395826,,,0.106,4.435,0.063,70.136,2.665,0.0,14.66,below threshold,GO:0005215;GO:0005216;GO:0005244;GO:0005253;GO:0008308;GO:0008509;GO:0015075;GO:0015267;GO:0015288;GO:0022803;GO:0022829;GO:0022832;GO:0022836;GO:0022838;GO:0022857;GO:0022891;GO:0022892,GO:0006810;GO:0006811;GO:0009987;GO:0015931;GO:0019725;GO:0042592;GO:0051234;GO:0065007,GO:0016020;GO:0032991;GO:0043234;GO:0044464,0.0,,,,0.0,73.08,0.11,0.13,0.09,0.48,-0.28,41.18,31188.6,10.18
YIL115C,-2.37965617707446,0.0086749581429587,0.1921551866077903,4383.0,39.4251,0.4476,0.025679012345679,0.163224047456083,-0.0425,0.0609,0.0041,0.0623,0.0876,0.0595,0.0554,0.013,0.0424,0.0773,0.0664,0.0123,0.0602,0.0513,0.0397,0.0192,0.1431,0.0698,0.0582,0.0027,0.0137,0.243,0.3101,0.2272,29.0,7.0,3.0,42.42372013,5.440411422480186,2519800000.0,31.2306620841337,31.2306620841337,,,0.05,16.268,0.046,352.02,9.757,0.461327857631759,47.44,nuclear periphery,GO:0000166;GO:0000774;GO:0005215;GO:0005487;GO:0005488;GO:0017076;GO:0030234;GO:0030554;GO:0060589;GO:0060590,GO:0000054;GO:0006605;GO:0006810;GO:0006913;GO:0006996;GO:0006997;GO:0009987;GO:0015031;GO:0015931;GO:0016043;GO:0051169;GO:0051179;GO:0051234;GO:0051641;GO:0065007,GO:0005643;GO:0016020;GO:0032991;GO:0043234;GO:0044464,1.0,1.66,13.46,,0.0,63.55,0.08,0.14,0.05,0.46,-0.59,48.34,158830.7,4.45
YIL116W,0.25031691194554,0.408374143748051,1.1894683728057402,1158.0,39.6373,0.1263,0.015714285714286,0.199739205526769,0.083052631578947,0.0725,0.0233,0.057,0.0596,0.0259,0.0596,0.013,0.057,0.0725,0.1192,0.0233,0.0622,0.044,0.0233,0.0363,0.057,0.0699,0.0725,0.0026,0.0466,0.3238,0.2228,0.2746,,,,18.13449089,4.258103610722961,569613333.3333334,29.08540767849205,29.08540767849205,,,0.163,10.274,0.125,82.39,4.013,0.0,,,GO:0003824;GO:0004400;GO:0005488;GO:0008483;GO:0016740;GO:0016769;GO:0019842;GO:0030170;GO:0048037;GO:0070279;GO:0070546;GO:0080130,GO:0006082;GO:0006520;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0042180;GO:0044237;GO:0044238;GO:0044281;GO:0046483,,0.0,,,,0.0,93.92,0.08,0.21,0.23,0.56,-0.13,27.09,42643.6,6.37
YIL117C,-0.644785178406063,0.0657379114842776,0.6395880201121112,957.0,39.9164,0.4476,-0.134073684210526,0.213964472309298,0.054166666666667,0.0345,0.0,0.047,0.0502,0.0282,0.047,0.0188,0.0627,0.0564,0.0878,0.0188,0.0596,0.0627,0.0282,0.0376,0.185,0.0815,0.0564,0.0063,0.0282,0.2696,0.3542,0.1912,,,,15.19013179825,4.017042825055804,197826666.66666666,27.559661678204886,27.559661678204886,,,0.019,1.558,0.018,84.952,1.128,0.3510971786833856,14.33,below threshold,,,GO:0044464,0.0,,,,0.0,78.33,0.06,0.11,0.01,0.42,-0.44,51.7,34650.0,7.18
YIL120W,1.03666251744929,0.0002181543426163,2.051476342775994,1692.0,39.539,0.02375,,,,0.0851,0.0213,0.0319,0.0372,0.0585,0.0674,0.0177,0.0762,0.0532,0.1135,0.0177,0.0443,0.0266,0.023,0.0461,0.1011,0.0691,0.0674,0.0142,0.0266,0.3564,0.2394,0.2535,,,,0.825930617,0.8686319458195036,,,24.236804416920307,,,0.034,4.438,0.032,137.68,2.478,0.0851063829787234,16.19,below threshold,GO:0005215;GO:0015238;GO:0022857,GO:0006810;GO:0007047;GO:0009987;GO:0015893;GO:0016043;GO:0022607;GO:0032502;GO:0045229;GO:0048646;GO:0051234;GO:0055085;GO:0070882;GO:0071554;GO:0071555,GO:0005886;GO:0016020;GO:0044464,0.0,,,,0.0,99.64,0.1,0.11,0.01,0.43,0.27,37.86,61776.5,9.56
YIL121W,-1.98685809455264,0.0012390161956057,0.2522877226044682,1629.0,42.1731,0.0134,-0.05,0.277527931246162,0.015379746835443,0.0921,0.0276,0.0239,0.0405,0.0645,0.0718,0.0092,0.0737,0.0497,0.1271,0.0166,0.035,0.0368,0.0258,0.0479,0.0755,0.0663,0.0663,0.011,0.0368,0.3794,0.2192,0.2762,1.0,1.0,25.0,0.5444658405,0.6271079627193635,,,24.063053390280093,,,0.041,4.588,0.035,130.997,1.328,0.0,28.44,cell periphery,GO:0005215;GO:0008324;GO:0015075;GO:0015238;GO:0022857;GO:0022891;GO:0022892,GO:0006810;GO:0006811;GO:0009987;GO:0015893;GO:0051234;GO:0055085,GO:0044464,0.0,2.95,3.3,,0.0,103.97,0.11,0.11,0.07,0.46,0.41,43.42,59636.7,9.35
YIL122W,0.289574781158524,0.598626315196866,1.2222799707254048,1056.0,43.4659,0.6906,,,,0.0398,0.0057,0.0369,0.0568,0.017,0.0455,0.0312,0.054,0.0483,0.0682,0.0455,0.0682,0.0938,0.0994,0.0568,0.1108,0.0597,0.0341,0.0028,0.0227,0.1989,0.3182,0.2102,6.0,,29.0,4.1140300514999995,2.35446063829224,,,24.885793397314927,,,0.039,4.374,0.036,122.315,6.883,0.8153409090909091,18.85,cytosol,GO:0000975;GO:0001047;GO:0001067;GO:0003676;GO:0003677;GO:0005488;GO:0044212,GO:0000280;GO:0006139;GO:0006807;GO:0006996;GO:0007067;GO:0008152;GO:0009058;GO:0009987;GO:0016043;GO:0016070;GO:0034641;GO:0042221;GO:0043170;GO:0044237;GO:0044238;GO:0048285;GO:0050896;GO:0051301;GO:0065007,GO:0044464,0.0,,,,0.0,59.29,0.04,0.07,-0.11,0.35,-0.93,71.12,39503.0,9.26
