Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
MCM7	YBR202W	inviable 	systematic mutation set	large-scale survey	null Allele: mcm7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MEC1	YBR136W	inviable 	systematic mutation set	large-scale survey	null Allele: mec1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MED11	YMR112C	inviable 	systematic mutation set	large-scale survey	null Allele: med11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MED4	YOR174W	inviable 	systematic mutation set	large-scale survey	null Allele: med4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MED6	YHR058C	inviable 	systematic mutation set	large-scale survey	null Allele: med6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MED7	YOL135C	inviable 	systematic mutation set	large-scale survey	null Allele: med7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MED8	YBR193C	inviable 	systematic mutation set	large-scale survey	null Allele: med8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MES1	YGR264C	inviable 	systematic mutation set	large-scale survey	null Allele: mes1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MET30	YIL046W	inviable 	systematic mutation set	large-scale survey	null Allele: met30-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MET4	YNL103W	inviable 	systematic mutation set	large-scale survey	null Allele: met4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MEX67	YPL169C	inviable 	systematic mutation set	large-scale survey	null Allele: mex67-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MGE1	YOR232W	inviable 	systematic mutation set	large-scale survey	null Allele: mge1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MIA40	YKL195W	inviable 	systematic mutation set	large-scale survey	null Allele: mia40-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MIF2	YKL089W	inviable 	systematic mutation set	large-scale survey	null Allele: mif2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MIM1	YOL026C	inviable 	systematic mutation set	large-scale survey	null Allele: mim1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MIM2	YLR099W-A	inviable 	systematic mutation set	large-scale survey	null Allele: mim2-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
MMF1	YIL051C	inviable 	systematic mutation set	large-scale survey	null Allele: mmf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MMS21	YEL019C	inviable 	systematic mutation set	large-scale survey	null Allele: mms21-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MNP1	YGL068W	inviable 	systematic mutation set	large-scale survey	null Allele: mnp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MOB1	YIL106W	inviable 	systematic mutation set	large-scale survey	null Allele: mob1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MOB2	YFL034C-B	inviable 	systematic mutation set	large-scale survey	null Allele: mob2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MOT1	YPL082C	inviable 	systematic mutation set	large-scale survey	null Allele: mot1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPE1	YKL059C	inviable 	systematic mutation set	large-scale survey	null Allele: mpe1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPP10	YJR002W	inviable 	systematic mutation set	large-scale survey	null Allele: mpp10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPS1	YDL028C	inviable 	systematic mutation set	large-scale survey	null Allele: mps1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPS2	YGL075C	inviable 	systematic mutation set	large-scale survey	null Allele: mps2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPS3	YJL019W	inviable 	systematic mutation set	large-scale survey	null Allele: mps3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MPS3	YJL019W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: mps3-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
MRD1	YPR112C	inviable 	systematic mutation set	large-scale survey	null Allele: mrd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MRPS18	YNL306W	inviable 	systematic mutation set	large-scale survey	null Allele: mrps18-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MRS6	YOR370C	inviable 	systematic mutation set	large-scale survey	null Allele: mrs6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MSL5	YLR116W	inviable 	systematic mutation set	large-scale survey	null Allele: msl5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MSS4	YDR208W	inviable 	systematic mutation set	large-scale survey	null Allele: mss4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MTO1	YGL236C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: mto1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
MTR10	YOR160W	inviable 	systematic mutation set	large-scale survey	null Allele: mtr10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MTR2	YKL186C	inviable 	systematic mutation set	large-scale survey	null Allele: mtr2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MTR3	YGR158C	inviable 	systematic mutation set	large-scale survey	null Allele: mtr3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MTR4	YJL050W	inviable 	systematic mutation set	large-scale survey	null Allele: mtr4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MTW1	YAL034W-A	inviable 	systematic mutation set	large-scale survey	null Allele: mtw1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MVD1	YNR043W	inviable 	systematic mutation set	large-scale survey	null Allele: mvd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MYO1	YHR023W	inviable 	systematic mutation set	large-scale survey	null Allele: myo1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
MYO2	YOR326W	inviable 	systematic mutation set	large-scale survey	null Allele: myo2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAB2	YGL122C	inviable 	systematic mutation set	large-scale survey	null Allele: nab2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAB3	YPL190C	inviable 	systematic mutation set	large-scale survey	null Allele: nab3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAF1	YNL124W	inviable 	systematic mutation set	large-scale survey	null Allele: naf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAM9	YNL137C	inviable 	systematic mutation set	large-scale survey	null Allele: nam9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAN1	YPL126W	inviable 	systematic mutation set	large-scale survey	null Allele: nan1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAR1	YNL240C	inviable 	systematic mutation set	large-scale survey	null Allele: nar1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NAT2	YGR147C	inviable 	systematic mutation set	large-scale survey	null Allele: nat2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NBP1	YLR457C	inviable 	systematic mutation set	large-scale survey	null Allele: nbp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NBP35	YGL091C	inviable 	systematic mutation set	large-scale survey	null Allele: nbp35-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NCB2	YDR397C	inviable 	systematic mutation set	large-scale survey	null Allele: ncb2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NCP1	YHR042W	inviable 	systematic mutation set	large-scale survey	null Allele: ncp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NDC1	YML031W	inviable 	systematic mutation set	large-scale survey	null Allele: ndc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NDC80	YIL144W	inviable 	systematic mutation set	large-scale survey	null Allele: ndc80-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NDD1	YOR372C	inviable 	systematic mutation set	large-scale survey	null Allele: ndd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NEO1	YIL048W	inviable 	systematic mutation set	large-scale survey	null Allele: neo1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NET1	YJL076W	inviable 	systematic mutation set	large-scale survey	null Allele: net1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NFS1	YCL017C	inviable 	systematic mutation set	large-scale survey	null Allele: nfs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NHP2	YDL208W	inviable 	systematic mutation set	large-scale survey	null Allele: nhp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NIC96	YFR002W	inviable 	systematic mutation set	large-scale survey	null Allele: nic96-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NIP1	YMR309C	inviable 	systematic mutation set	large-scale survey	null Allele: nip1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NIP7	YPL211W	inviable 	systematic mutation set	large-scale survey	null Allele: nip7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NMD3	YHR170W	inviable 	systematic mutation set	large-scale survey	null Allele: nmd3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NMT1	YLR195C	inviable 	systematic mutation set	large-scale survey	null Allele: nmt1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NNF1	YJR112W	inviable 	systematic mutation set	large-scale survey	null Allele: nnf1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOB1	YOR056C	inviable 	systematic mutation set	large-scale survey	null Allele: nob1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOC2	YOR206W	inviable 	systematic mutation set	large-scale survey	null Allele: noc2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOC3	YLR002C	inviable 	systematic mutation set	large-scale survey	null Allele: noc3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOC4	YPR144C	inviable 	systematic mutation set	large-scale survey	null Allele: noc4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOG1	YPL093W	inviable 	systematic mutation set	large-scale survey	null Allele: nog1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOG2	YNR053C	inviable 	systematic mutation set	large-scale survey	null Allele: nog2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP1	YDL014W	inviable 	systematic mutation set	large-scale survey	null Allele: nop1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP10	YHR072W-A	inviable 	systematic mutation set	large-scale survey	null Allele: nop10-Δ	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
NOP14	YDL148C	inviable 	systematic mutation set	large-scale survey	null Allele: nop14-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP15	YNL110C	inviable 	systematic mutation set	large-scale survey	null Allele: nop15-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP19	YGR251W	inviable 	systematic mutation set	large-scale survey	null Allele: nop19-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP2	YNL061W	inviable 	systematic mutation set	large-scale survey	null Allele: nop2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP4	YPL043W	inviable 	systematic mutation set	large-scale survey	null Allele: nop4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP53	YPL146C	inviable 	systematic mutation set	large-scale survey	null Allele: nop53-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP56	YLR197W	inviable 	systematic mutation set	large-scale survey	null Allele: nop56-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP58	YOR310C	inviable 	systematic mutation set	large-scale survey	null Allele: nop58-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP7	YGR103W	inviable 	systematic mutation set	large-scale survey	null Allele: nop7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP8	YOL144W	inviable 	systematic mutation set	large-scale survey	null Allele: nop8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NOP9	YJL010C	inviable 	systematic mutation set	large-scale survey	null Allele: nop9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NPA3	YJR072C	inviable 	systematic mutation set	large-scale survey	null Allele: npa3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NPL3	YDR432W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: npl3-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
NRD1	YNL251C	inviable 	systematic mutation set	large-scale survey	null Allele: nrd1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSA1	YGL111W	inviable 	systematic mutation set	large-scale survey	null Allele: nsa1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSA2	YER126C	inviable 	systematic mutation set	large-scale survey	null Allele: nsa2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSE1	YLR007W	inviable 	systematic mutation set	large-scale survey	null Allele: nse1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSE3	YDR288W	inviable 	systematic mutation set	large-scale survey	null Allele: nse3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSE4	YDL105W	inviable 	systematic mutation set	large-scale survey	null Allele: nse4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSE5	YML023C	inviable 	systematic mutation set	large-scale survey	null Allele: nse5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSL1	YPL233W	inviable 	systematic mutation set	large-scale survey	null Allele: nsl1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NSP1	YJL041W	inviable 	systematic mutation set	large-scale survey	null Allele: nsp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NTF2	YER009W	inviable 	systematic mutation set	large-scale survey	null Allele: ntf2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NTR2	YKR022C	inviable 	systematic mutation set	large-scale survey	null Allele: ntr2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUD1	YOR373W	inviable 	systematic mutation set	large-scale survey	null Allele: nud1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUF2	YOL069W	inviable 	systematic mutation set	large-scale survey	null Allele: nuf2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUG1	YER006W	inviable 	systematic mutation set	large-scale survey	null Allele: nug1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP1	YOR098C	inviable 	systematic mutation set	large-scale survey	null Allele: nup1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP116	YMR047C	inviable 	systematic mutation set	large-scale survey	null Allele: nup116-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP145	YGL092W	inviable 	systematic mutation set	large-scale survey	null Allele: nup145-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP159	YIL115C	inviable 	systematic mutation set	large-scale survey	null Allele: nup159-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP192	YJL039C	inviable 	systematic mutation set	large-scale survey	null Allele: nup192-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP49	YGL172W	inviable 	systematic mutation set	large-scale survey	null Allele: nup49-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP57	YGR119C	inviable 	systematic mutation set	large-scale survey	null Allele: nup57-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP82	YJL061W	inviable 	systematic mutation set	large-scale survey	null Allele: nup82-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUP85	YJR042W	inviable 	systematic mutation set	large-scale survey	null Allele: nup85-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUR1	YDL089W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: nur1-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
NUS1	YDL193W	inviable 	systematic mutation set	large-scale survey	null Allele: nus1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
NUS1	YDL193W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: nus1-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
NUT2	YPR168W	inviable 	systematic mutation set	large-scale survey	null Allele: nut2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
OKP1	YGR179C	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: okp1-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
OKP1	YGR179C	inviable 	systematic mutation set	large-scale survey	null Allele: okp1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
OLE1	YGL055W	inviable 	systematic mutation set	large-scale survey	null Allele: ole1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC1	YML065W	inviable 	systematic mutation set	large-scale survey	null Allele: orc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC2	YBR060C	inviable 	systematic mutation set	large-scale survey	null Allele: orc2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC3	YLL004W	inviable 	systematic mutation set	large-scale survey	null Allele: orc3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC4	YPR162C	inviable 	systematic mutation set	large-scale survey	null Allele: orc4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC5	YNL261W	inviable 	systematic mutation set	large-scale survey	null Allele: orc5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
ORC6	YHR118C	inviable 	systematic mutation set	large-scale survey	null Allele: orc6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
OST1	YJL002C	inviable 	systematic mutation set	large-scale survey	null Allele: ost1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
OST2	YOR103C	inviable 	systematic mutation set	large-scale survey	null Allele: ost2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
OST4	YDL232W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: ost4-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
PAB1	YER165W	inviable 	systematic mutation set	large-scale survey	null Allele: pab1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PAM16	YJL104W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: pam16-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PAM16	YJL104W	inviable 	systematic mutation set	large-scale survey	null Allele: pam16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PAM18	YLR008C	inviable 	systematic mutation set	large-scale survey	null Allele: pam18-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PAN1	YIR006C	inviable 	systematic mutation set	large-scale survey	null Allele: pan1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PAP1	YKR002W	inviable 	systematic mutation set	large-scale survey	null Allele: pap1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PBN1	YCL052C	inviable 	systematic mutation set	large-scale survey	null Allele: pbn1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PBR1	YNL181W	inviable 	systematic mutation set	large-scale survey	null Allele: pbr1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PCF11	YDR228C	inviable 	systematic mutation set	large-scale survey	null Allele: pcf11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PCM1	YEL058W	inviable 	systematic mutation set	large-scale survey	null Allele: pcm1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PDC2	YDR081C	inviable 	systematic mutation set	large-scale survey	null Allele: pdc2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PDI1	YCL043C	inviable 	systematic mutation set	large-scale survey	null Allele: pdi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PDS1	YDR113C	inviable 	systematic mutation set	large-scale survey	null Allele: pds1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PDS5	YMR076C	inviable 	systematic mutation set	large-scale survey	null Allele: pds5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PEP12	YOR036W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: pep12-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
PEP7	YDR323C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: pep7-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
PET9	YBL030C	inviable 	systematic mutation set	large-scale survey	null Allele: pet9-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PEX32	YBR168W	inviable 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: pex32-Δ	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PFS2	YNL317W	inviable 	systematic mutation set	large-scale survey	null Allele: pfs2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PFY1	YOR122C	inviable 	systematic mutation set	large-scale survey	null Allele: pfy1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PFY1	YOR122C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: pfy1-Δ	S288C			Dowell RD, et al. (2010) PMID:20413493
PGA1	YNL158W	inviable 	systematic mutation set	large-scale survey	null Allele: pga1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PGA2	YNL149C	inviable 	systematic mutation set	large-scale survey	null Allele: pga2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PGA3	YML125C	inviable 	systematic mutation set	large-scale survey	null Allele: pga3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PGI1	YBR196C	inviable 	systematic mutation set	large-scale survey	null Allele: pgi1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PGK1	YCR012W	inviable 	systematic mutation set	large-scale survey	null Allele: pgk1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PGS1	YCL004W	inviable 	systematic mutation set	large-scale survey	null Allele: pgs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PHO90	YJL198W	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: pho90-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
PHS1	YJL097W	inviable 	systematic mutation set	large-scale survey	null Allele: phs1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PIK1	YNL267W	inviable 	systematic mutation set	large-scale survey	null Allele: pik1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PIS1	YPR113W	inviable 	systematic mutation set	large-scale survey	null Allele: pis1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PKC1	YBL105C	inviable 	systematic mutation set	large-scale survey	null Allele: pkc1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PLP2	YOR281C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: plp2-Δ	S288C			Dowell RD, et al. (2010) PMID:20413493
PLP2	YOR281C	inviable 	systematic mutation set	large-scale survey	null Allele: plp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PMA1	YGL008C	inviable 	systematic mutation set	large-scale survey	null Allele: pma1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PMI40	YER003C	inviable 	systematic mutation set	large-scale survey	null Allele: pmi40-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POB3	YML069W	inviable 	systematic mutation set	large-scale survey	null Allele: pob3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL1	YNL102W	inviable 	systematic mutation set	large-scale survey	null Allele: pol1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL12	YBL035C	inviable 	systematic mutation set	large-scale survey	null Allele: pol12-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL2	YNL262W	inviable 	systematic mutation set	large-scale survey	null Allele: pol2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL3	YDL102W	inviable 	systematic mutation set	large-scale survey	null Allele: pol3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL30	YBR088C	inviable 	systematic mutation set	large-scale survey	null Allele: pol30-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL31	YJR006W	inviable 	systematic mutation set	large-scale survey	null Allele: pol31-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POL5	YEL055C	inviable 	systematic mutation set	large-scale survey	null Allele: pol5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP1	YNL221C	inviable 	systematic mutation set	large-scale survey	null Allele: pop1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP2	YNR052C	inviable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null Allele: pop2-Δ	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
POP3	YNL282W	inviable 	systematic mutation set	large-scale survey	null Allele: pop3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP4	YBR257W	inviable 	systematic mutation set	large-scale survey	null Allele: pop4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP5	YAL033W	inviable 	systematic mutation set	large-scale survey	null Allele: pop5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP6	YGR030C	inviable 	systematic mutation set	large-scale survey	null Allele: pop6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP7	YBR167C	inviable 	systematic mutation set	large-scale survey	null Allele: pop7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
POP8	YBL018C	inviable 	systematic mutation set	large-scale survey	null Allele: pop8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE1	YER012W	inviable 	systematic mutation set	large-scale survey	null Allele: pre1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE10	YOR362C	inviable 	systematic mutation set	large-scale survey	null Allele: pre10-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE2	YPR103W	inviable 	systematic mutation set	large-scale survey	null Allele: pre2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE3	YJL001W	inviable 	systematic mutation set	large-scale survey	null Allele: pre3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE4	YFR050C	inviable 	systematic mutation set	large-scale survey	null Allele: pre4-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE5	YMR314W	inviable 	systematic mutation set	large-scale survey	null Allele: pre5-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE6	YOL038W	inviable 	systematic mutation set	large-scale survey	null Allele: pre6-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE7	YBL041W	inviable 	systematic mutation set	large-scale survey	null Allele: pre7-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRE8	YML092C	inviable 	systematic mutation set	large-scale survey	null Allele: pre8-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRI1	YIR008C	inviable 	systematic mutation set	large-scale survey	null Allele: pri1-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRI2	YKL045W	inviable 	systematic mutation set	large-scale survey	null Allele: pri2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRO3	YER023W	inviable 	systematic mutation set	large-scale survey	null Allele: pro3-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP11	YDL043C	inviable 	systematic mutation set	large-scale survey	null Allele: prp11-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP16	YKR086W	inviable 	systematic mutation set	large-scale survey	null Allele: prp16-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP19	YLL036C	inviable 	systematic mutation set	large-scale survey	null Allele: prp19-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP2	YNR011C	inviable 	systematic mutation set	large-scale survey	null Allele: prp2-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP21	YJL203W	inviable 	systematic mutation set	large-scale survey	null Allele: prp21-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
PRP22	YER013W	inviable 	systematic mutation set	large-scale survey	null Allele: prp22-Δ	S288C			Giaever G, et al. (2002) PMID:12140549
